Item Number ,Description 1 ,Type ,Trans ,ID ,Tran Date ,Time ,Date ,Op ,OP Desc ,Work Ctr ,WC Name ,Department ,Dept Name ,Milestone ,Shift ,Employee ,Site ,Line ,Qty Completed ,Std Run ,Act Run ,User ID 
22400,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,208","4,543,023",6/7/2023,15:29:49,6/1/2023,400,ROUGH MACH,"1,633",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,23,0.00568,0.131,shelleyj
22400,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,207","4,543,023",6/7/2023,15:29:42,6/1/2023,400,ROUGH MACH,"1,633",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,30,0.00568,0.17,shelleyj
22400,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,209","4,543,023",6/7/2023,15:29:57,6/1/2023,400,ROUGH MACH,"1,633",P3 BALL STUD RGH MACH'G,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,1,0.00568,0.006,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,213","4,543,366",6/7/2023,15:30:47,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,59,0.0059,0.348,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,215","4,543,366",6/7/2023,15:30:53,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,2,0.0059,0.012,shelleyj
23399,"P708 STUD MACH'D, IH",BACKFLSH,"2,469,216","4,543,366",6/7/2023,15:31:05,6/3/2023,400,ROUGH MACH,"1,637",P3 STUD DOOSAN MACH,"7,329",KA/DR/T1/CD4 Stud Mach,no,,tb,984,TIL,64,0.0059,0.378,shelleyj
1653274-03,I20 FLTA ASSEMBLY RH,BACKFLSH,"2,469,222","4,544,446",6/7/2023,15:32:39,6/3/2023,"13,499","ASB BUSHING, PROT","3,564",P3 BUSHING PRESS - BMW,"7,208",BMW Assembly,no,,tb,984,TIL,1,0.005,0.005,shelleyj
1653274-03,I20 FLTA ASSEMBLY RH,BACKFLSH,"2,469,223","4,544,446",6/7/2023,15:32:39,6/3/2023,"12,520",THERM CAL,"3,646",P3 THERM CALIBRATE OVEN,"7,208",BMW Assembly,no,,,984,TIL,1,0,0,shelleyj
1653274-03,I20 FLTA ASSEMBLY RH,BACKFLSH,"2,469,224","4,544,446",6/7/2023,15:32:39,6/3/2023,"12,535","TORQ CHK,ASB SEAL,WSHR","3,565","P3 TRQ CHK,SEAL ASB-BMW","7,208",BMW Assembly,no,,,984,TIL,1,0.005,0.005,shelleyj
1683199-03,G05 FLCA ASSEMBLY LH,BACKFLSH,"2,469,225","4,543,601",6/7/2023,15:32:53,6/3/2023,"13,499","ASB BUSHINGS,PROT","3,564",P3 BUSHING PRESS - BMW,"7,202",BMW F15 STL MACH'G,no,,tb,984,TIL,4,0.005,0.02,shelleyj
